week_start,demand,promo_flag,promo_lift,promo_carryover,holiday_flag,holiday_lead_flag,holiday_decay_flag,year,month,week_of_year,y_tr,demand_lag_1,demand_lag_2,demand_lag_4,demand_lag_8,demand_lag_12,demand_lag_52,demand_rolling_mean_4w,demand_rolling_std_4w,demand_rolling_mean_8w,demand_rolling_std_8w,demand_rolling_mean_12w,demand_rolling_std_12w,promo_flag_lag_1,promo_flag_lag_2,rolling_promo_rate_12w,sum_promos_4w,weeks_since_last_promo,sin_woy,cos_woy,sin_month,cos_month,year_progress,weeks_from_start,is_q4,is_holiday_season,week_of_month
2018-01-01,34,0,0.0,0.0,0,0,0,2018,1,1,3.5553480614894135,,,,,,,3.5553480614894135,,3.5553480614894135,,3.5553480614894135,,0,0,0.0,0.0,,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.0,0,0,0,1
2018-01-08,45,0,0.0,0.0,0,0,0,2018,1,2,3.828641396489095,3.5553480614894135,,,,,,3.691994728989254,0.19324757043136181,3.691994728989254,0.19324757043136181,3.691994728989254,0.19324757043136181,0,0,0.0,0.0,,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.019178082191780823,1,0,0,2
2018-01-15,35,0,0.0,0.0,0,0,0,2018,1,3,3.58351893845611,3.828641396489095,3.5553480614894135,,,,,3.655836132144873,0.15031514932326545,3.655836132144873,0.15031514932326545,3.655836132144873,0.15031514932326545,0,0,0.0,0.0,,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.038356164383561646,2,0,0,3
2018-01-22,29,0,0.0,0.0,0,0,0,2018,1,4,3.4011973816621555,3.58351893845611,3.828641396489095,,,,,3.5921764445241937,0.1768426401896149,3.5921764445241937,0.1768426401896149,3.5921764445241937,0.1768426401896149,0,0,0.0,0.0,,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,0.057534246575342465,3,0,0,4
2018-01-29,49,0,0.0,0.0,0,0,0,2018,1,5,3.912023005428146,3.4011973816621555,3.58351893845611,3.5553480614894135,,,,3.6813451805088766,0.23306737007741324,3.6561457567049844,0.2095599056268693,3.6561457567049844,0.2095599056268693,0,0,0.0,0.0,,0.5680647467311558,0.8229838658936564,0.49999999999999994,0.8660254037844387,0.07671232876712329,4,0,0,5
2018-02-05,78,0,0.0,0.0,0,1,0,2018,2,6,4.3694478524670215,3.912023005428146,3.4011973816621555,3.828641396489095,,,,3.8165467945033584,0.4249048533461744,3.77502943933199,0.3463123780733608,3.77502943933199,0.3463123780733608,0,0,0.0,0.0,,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,0.0958904109589041,5,0,0,1
2018-02-12,66,0,0.0,0.0,1,0,0,2018,2,7,4.204692619390966,4.3694478524670215,3.912023005428146,3.58351893845611,,,,3.971840214737072,0.42486210210042147,3.8364098936261297,0.35541028946534425,3.8364098936261297,0.35541028946534425,0,0,0.0,0.0,,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,0.11506849315068493,6,0,0,2
2018-02-19,44,0,0.0,0.0,0,0,1,2018,2,8,3.8066624897703196,4.204692619390966,4.3694478524670215,3.4011973816621555,,,,4.073206491764114,0.2595337915158002,3.8326914681441533,0.32921402887975465,3.8326914681441533,0.32921402887975465,0,0,0.0,0.0,,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,0.13424657534246576,7,0,0,3
2018-02-26,51,1,0.3605797384568381,0.0,0,0,0,2018,2,9,3.9512437185814275,3.8066624897703196,4.204692619390966,3.912023005428146,3.5553480614894135,,,4.083011670052434,0.25204735170574055,3.882178425280655,0.3108092518237157,3.845863940414962,0.3104766793840752,0,0,0.1111111111111111,1.0,0.0,0.8854560256532099,0.4647231720437686,0.8660254037844386,0.5000000000000001,0.15342465753424658,8,0,0,4
2018-03-05,51,0,0.0,0.1307390743440522,0,0,0,2018,3,10,3.9512437185814275,3.9512437185814275,3.8066624897703196,4.3694478524670215,3.828641396489095,,,3.978460636581035,0.16550632872542337,3.8975037155421965,0.3108149707390499,3.856401918231608,0.2946109591784971,1,0,0.1,1.0,1.0,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,0.1726027397260274,9,0,0,1
2018-03-12,41,0,0.0,0.0,0,0,0,2018,3,11,3.7376696182833684,3.9512437185814275,3.9512437185814275,4.204692619390966,3.58351893845611,,,3.861704886304136,0.10715847781102945,3.916772550520604,0.2928265738921636,3.845608072781768,0.28177585708646513,0,1,0.09090909090909091,1.0,2.0,0.970941817426052,0.23931566428755804,1.0,6.123233995736766e-17,0.1917808219178082,10,0,0,2
2018-03-19,42,0,0.0,0.0,0,0,0,2018,3,12,3.7612001156935624,3.7376696182833684,3.9512437185814275,3.8066624897703196,3.4011973816621555,,,3.8503392927849465,0.1169097297568441,3.9617728922745297,0.22117110322514524,3.838574076357751,0.2697654392446768,0,0,0.08333333333333333,1.0,3.0,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,0.21095890410958903,11,0,0,3
2018-03-26,39,0,0.0,0.0,0,0,0,2018,3,13,3.6888794541139363,3.7612001156935624,3.7376696182833684,3.9512437185814275,3.912023005428146,3.5553480614894135,,3.7847482266680736,0.11501083902023276,3.9338799483602536,0.24148003321808056,3.849701692409795,0.2595823450857,0,0,0.08333333333333333,0.0,4.0,1.0,-1.6081226496766366e-16,1.0,6.123233995736766e-17,0.23013698630136986,12,0,0,4
2018-04-02,46,0,0.0,0.0,0,0,0,2018,4,14,3.8501476017100584,3.6888794541139363,3.7612001156935624,3.9512437185814275,4.3694478524670215,3.828641396489095,,3.7594741974502313,0.06753690964504433,3.8689674170156336,0.1655168778981649,3.8514938761782083,0.25949795101328493,0,0,0.08333333333333333,0.0,5.0,0.992708874098054,-0.12053668025532288,0.8660254037844387,-0.4999999999999998,0.2493150684931507,13,0,0,1
2018-04-09,70,0,0.0,0.0,0,0,0,2018,4,15,4.2626798770413155,3.8501476017100584,3.6888794541139363,3.7376696182833684,4.204692619390966,3.58351893845611,,3.8907267621397184,0.2565899945068129,3.876215824221927,0.18269749880897293,3.908090621060309,0.26960511764509215,0,0,0.08333333333333333,0.0,6.0,0.9709418174260521,-0.2393156642875575,0.8660254037844387,-0.4999999999999998,0.2684931506849315,14,0,0,2
2018-04-16,67,0,0.0,0.0,0,0,0,2018,4,16,4.219507705176107,4.2626798770413155,3.8501476017100584,3.7612001156935624,3.8066624897703196,3.4011973816621555,,4.005303659510354,0.28066799518470475,3.9278214761476504,0.21559059587483767,3.976283148019805,0.230373867954371,0,0,0.08333333333333333,0.0,7.0,0.9350162426854148,-0.35460488704253545,0.8660254037844387,-0.4999999999999998,0.2876712328767123,15,0,0,3
2018-04-23,68,0,0.0,0.0,0,0,0,2018,4,17,4.23410650459726,4.219507705176107,4.2626798770413155,3.6888794541139363,3.9512437185814275,3.912023005428146,,4.141610422131185,0.19513405697744218,3.9631793243996296,0.2416064193078559,4.003123439617231,0.24073599489772732,0,0,0.08333333333333333,0.0,8.0,0.8854560256532099,-0.4647231720437685,0.8660254037844387,-0.4999999999999998,0.30684931506849317,16,0,0,4
2018-04-30,60,0,0.0,0.0,0,1,0,2018,4,18,4.110873864173311,4.23410650459726,4.219507705176107,3.8501476017100584,3.9512437185814275,4.3694478524670215,,4.206791987746999,0.06641163276658925,3.983133092598615,0.2470111704892675,3.981575607259422,0.21518213875349526,0,0,0.08333333333333333,0.0,9.0,0.8229838658936565,-0.5680647467311557,0.8660254037844387,-0.4999999999999998,0.32602739726027397,17,0,0,5
2018-05-07,76,0,0.0,0.0,1,0,0,2018,5,19,4.343805421853684,4.110873864173311,4.23410650459726,4.2626798770413155,3.7376696182833684,4.204692619390966,,4.22707337395009,0.09528099032306228,4.058900068044904,0.2538303043223062,3.993168340797981,0.2314290429349285,0,0,0.08333333333333333,0.0,10.0,0.7485107481711013,-0.663122658240795,0.49999999999999994,-0.8660254037844387,0.3452054794520548,18,0,0,1
2018-05-14,51,0,0.0,0.0,0,0,1,2018,5,20,3.9512437185814275,4.343805421853684,4.110873864173311,4.219507705176107,3.7612001156935624,3.8066624897703196,,4.160007377301421,0.1685909933949716,4.082655518405888,0.2297386155492703,4.005216776532241,0.22449634232458385,0,0,0.08333333333333333,0.0,11.0,0.6631226582407952,-0.7485107481711012,0.49999999999999994,-0.8660254037844387,0.3643835616438356,19,0,0,2
2018-05-21,44,0,0.0,0.0,0,0,0,2018,5,21,3.8066624897703196,3.9512437185814275,4.343805421853684,4.23410650459726,3.6888794541139363,3.9512437185814275,,4.053146373594686,0.2301836959091782,4.0973783978629355,0.20313165257030033,3.993168340797981,0.23142904293492844,0,0,0.0,0.0,12.0,0.5680647467311558,-0.8229838658936564,0.49999999999999994,-0.8660254037844387,0.3835616438356164,20,0,0,3
